season,lg,type,number_tm,position,player,age,tm,pts_won,pts_max,share,x1st_tm,x2nd_tm,x3rd_tm,seas_id,player_id
1989,NBA,All-NBA,1st,F,Charles Barkley,25.0,PHI,412.0,425.0,0.969,80.0,,,11417,2162
1989,NBA,All-NBA,1st,C,Hakeem Olajuwon,26.0,HOU,379.0,425.0,0.892,66.0,,,11526,2176
1989,NBA,All-NBA,2nd,C,Patrick Ewing,26.0,NYK,267.0,425.0,0.628,17.0,,,11674,2264
1989,NBA,All-NBA,2nd,G,John Stockton,26.0,UTA,224.0,425.0,0.527,1.0,,,11579,2183
1989,NBA,All-NBA,2nd,F,Tom Chambers,29.0,PHO,174.0,425.0,0.409,1.0,,,11772,2038
1989,NBA,All-NBA,2nd,G,Chris Mullin,25.0,GSW,137.0,425.0,0.322,0.0,,,11426,2232
1989,NBA,All-NBA,2nd,G,Kevin Johnson,22.0,PHO,131.0,425.0,0.308,0.0,,,11605,2371
1989,NBA,All-NBA,3rd,F,Dominique Wilkins,29.0,ATL,116.0,425.0,0.273,2.0,,,11489,2058
1989,NBA,All-NBA,3rd,G,Dale Ellis,28.0,SEA,83.0,425.0,0.195,1.0,,,11444,2112
1989,NBA,All-NBA,3rd,G,Mark Price,24.0,CLE,75.0,425.0,0.176,0.0,,,11638,2324
1989,NBA,All-NBA,3rd,C,Robert Parish,35.0,BOS,70.0,425.0,0.165,1.0,,,11711,1723
1989,NBA,All-NBA,3rd,F,Terry Cummings,27.0,MIL,70.0,425.0,0.165,1.0,,,11760,2098
1989,NBA,All-NBA,ORV,G,Clyde Drexler,26.0,POR,65.0,425.0,0.153,0.0,,,11435,2110
1989,NBA,All-NBA,ORV,F,Alex English,35.0,DEN,58.0,425.0,0.136,0.0,,,11369,1693
1989,NBA,All-NBA,ORV,G,Isiah Thomas,27.0,DET,57.0,425.0,0.134,0.0,,,11535,2003
1989,NBA,All-NBA,ORV,F,Larry Nance,29.0,CLE,45.0,425.0,0.106,0.0,,,11616,2018
1989,NBA,All-NBA,ORV,F,James Worthy,27.0,LAL,40.0,425.0,0.094,1.0,,,11540,2067
1989,NBA,All-NBA,ORV,F,Kevin McHale,31.0,BOS,33.0,425.0,0.078,0.0,,,11606,1938
1989,NBA,All-NBA,ORV,C,Moses Malone,33.0,ATL,19.0,425.0,0.045,1.0,,,11659,1605
1989,NBA,All-NBA,ORV,G,Joe Dumars,25.0,DET,16.0,425.0,0.038,0.0,,,11564,2248
1989,NBA,All-NBA,ORV,G,Mitch Richmond,23.0,GSW,12.0,425.0,0.028,0.0,,,11657,2449
1989,NBA,All-NBA,ORV,C,Brad Daugherty,23.0,CLE,9.0,425.0,0.021,0.0,,,11401,2285
1989,NBA,All-NBA,ORV,G,Ron Harper,25.0,CLE,9.0,425.0,0.021,0.0,,,11721,2335
1989,NBA,All-NBA,ORV,G,Fat Lever,28.0,DEN,8.0,425.0,0.019,0.0,,,11509,2063
1989,NBA,All-NBA,ORV,C,Mark Eaton,32.0,UTA,6.0,425.0,0.014,0.0,,,11635,2081
1989,NBA,All-NBA,ORV,G,Mark Jackson,23.0,NYK,6.0,425.0,0.014,0.0,,,11636,2373
1989,NBA,All-NBA,ORV,F,Bernard King,32.0,WSB,5.0,425.0,0.012,0.0,,,11390,1741
1989,NBA,All-NBA,ORV,F,Charles Oakley,25.0,NYK,5.0,425.0,0.012,0.0,,,11421,2230
1989,NBA,All-NBA,ORV,F,Otis Thorpe,26.0,HOU,3.0,425.0,0.007,0.0,,,11669,2196
1989,NBA,All-NBA,ORV,G,Danny Ainge,29.0,TOT,1.0,425.0,0.002,0.0,0.0,1.0,11447,1987
1989,NBA,All-NBA,ORV,G,Eddie Johnson,29.0,PHO,1.0,425.0,0.002,0.0,0.0,1.0,11500,1993
1989,NBA,All-NBA,ORV,G,Kelly Tripucka,29.0,CHH,1.0,425.0,0.002,0.0,0.0,1.0,11593,2012
1989,NBA,All-NBA,ORV,G,Doc Rivers,27.0,ATL,1.0,425.0,0.002,0.0,0.0,1.0,11485,2118
1989,NBA,All-NBA,ORV,F,Xavier McDaniel,25.0,SEA,1.0,425.0,0.002,0.0,0.0,1.0,11800,2278
1989,NBA,All-NBA,ORV,F,Ken Norman,24.0,LAC,1.0,425.0,0.002,0.0,0.0,1.0,11598,2368
1988,NBA,All-NBA,1st,G,Michael Jordan,24.0,CHI,160.0,160.0,1.0,80.0,0.0,,11208,2193
1988,NBA,All-NBA,1st,F,Larry Bird,31.0,BOS,159.0,160.0,0.994,79.0,1.0,,11168,1875
1988,NBA,All-NBA,1st,C,Hakeem Olajuwon,25.0,HOU,157.0,160.0,0.981,77.0,3.0,,11083,2176
1988,NBA,All-NBA,1st,G,Magic Johnson,28.0,LAL,155.0,160.0,0.969,75.0,5.0,,11181,1878
1988,NBA,All-NBA,1st,F,Charles Barkley,24.0,PHI,113.0,160.0,0.706,40.0,33.0,,10991,2162
1988,NBA,All-NBA,2nd,F,Karl Malone,24.0,UTA,92.0,160.0,0.575,20.0,52.0,,11144,2252
1988,NBA,All-NBA,2nd,F,Dominique Wilkins,28.0,ATL,87.0,160.0,0.544,20.0,47.0,,11055,2058
1988,NBA,All-NBA,2nd,G,Clyde Drexler,25.0,POR,60.0,160.0,0.375,0.0,60.0,,11013,2110
1988,NBA,All-NBA,2nd,G,John Stockton,25.0,UTA,52.0,160.0,0.325,4.0,44.0,,11131,2183
1988,NBA,All-NBA,2nd,C,Patrick Ewing,25.0,NYK,41.0,160.0,0.256,3.0,35.0,,11242,2264
1988,NBA,All-NBA,ORV,G,Fat Lever,27.0,DEN,29.0,160.0,0.181,1.0,27.0,,11068,2063
1988,NBA,All-NBA,ORV,F,Kevin McHale,30.0,BOS,20.0,160.0,0.125,1.0,18.0,,11160,1938
1988,NBA,All-NBA,ORV,C,Moses Malone,32.0,WSB,19.0,160.0,0.119,0.0,19.0,,11226,1605
1988,NBA,All-NBA,ORV,C,Brad Daugherty,22.0,CLE,15.0,160.0,0.094,0.0,15.0,,10976,2285
1988,NBA,All-NBA,ORV,G,Isiah Thomas,26.0,DET,14.0,160.0,0.088,0.0,14.0,,11088,2003
1988,NBA,All-NBA,ORV,F,Buck Williams,27.0,NJN,3.0,160.0,0.019,0.0,3.0,,10983,1981
1988,NBA,All-NBA,ORV,G,Dale Ellis,27.0,SEA,3.0,160.0,0.019,0.0,3.0,,11022,2112
1988,NBA,All-NBA,ORV,F,Mark Aguirre,28.0,DAL,2.0,160.0,0.012,0.0,2.0,,11185,2021
1988,NBA,All-NBA,ORV,G,Rolando Blackman,28.0,DAL,2.0,160.0,0.012,0.0,2.0,,11281,2033
1988,NBA,All-NBA,ORV,G,Byron Scott,26.0,LAL,2.0,160.0,0.012,0.0,2.0,,10984,2107
1988,NBA,All-NBA,ORV,G,Mark Jackson,22.0,NYK,2.0,160.0,0.012,0.0,2.0,,11188,2373
1988,NBA,All-NBA,ORV,F,Alex English,34.0,DEN,1.0,160.0,0.006,0.0,1.0,,10941,1693
1988,NBA,All-NBA,ORV,C,Robert Parish,34.0,BOS,1.0,160.0,0.006,0.0,1.0,,11277,1723
1988,NBA,All-NBA,ORV,C,Jack Sikma,32.0,MIL,1.0,160.0,0.006,0.0,1.0,,11089,1755
1988,NBA,All-NBA,ORV,F,James Worthy,26.0,LAL,1.0,160.0,0.006,0.0,1.0,,11095,2067
1988,NBA,All-NBA,ORV,C,Mark Eaton,31.0,UTA,1.0,160.0,0.006,0.0,1.0,,11187,2081
1988,NBA,All-NBA,ORV,F,Charles Oakley,24.0,CHI,1.0,160.0,0.006,0.0,1.0,,10997,2230
1988,NBA,All-NBA,ORV,C,Kevin Duckworth,23.0,POR,1.0,160.0,0.006,0.0,1.0,,11152,2320
1987,NBA,All-NBA,1st,G,Magic Johnson,27.0,LAL,156.0,156.0,1.0,78.0,0.0,,10791,1878
1987,NBA,All-NBA,1st,G,Michael Jordan,23.0,CHI,154.0,156.0,0.987,76.0,2.0,,10813,2193
1987,NBA,All-NBA,1st,F,Larry Bird,30.0,BOS,151.0,156.0,0.968,73.0,5.0,,10782,1875
1987,NBA,All-NBA,1st,C,Hakeem Olajuwon,24.0,HOU,130.0,156.0,0.833,56.0,18.0,,10704,2176
1987,NBA,All-NBA,1st,F,Kevin McHale,29.0,BOS,125.0,156.0,0.801,48.0,29.0,,10771,1938
1987,NBA,All-NBA,2nd,F,Dominique Wilkins,27.0,ATL,93.0,156.0,0.596,20.0,53.0,,10668,2058
1987,NBA,All-NBA,2nd,F,Charles Barkley,23.0,PHI,89.0,156.0,0.571,17.0,55.0,,10612,2162
1987,NBA,All-NBA,2nd,C,Moses Malone,31.0,WSB,80.0,156.0,0.513,16.0,48.0,,10830,1605
1987,NBA,All-NBA,2nd,G,Isiah Thomas,25.0,DET,63.0,156.0,0.404,1.0,61.0,,10709,2003
1987,NBA,All-NBA,2nd,G,Fat Lever,26.0,DEN,42.0,156.0,0.269,1.0,40.0,,10682,2063
1987,NBA,All-NBA,ORV,G,Rolando Blackman,27.0,DAL,25.0,156.0,0.16,0.0,25.0,,10873,2033
1987,NBA,All-NBA,ORV,C,Robert Parish,33.0,BOS,10.0,156.0,0.064,1.0,8.0,,10869,1723
1987,NBA,All-NBA,ORV,C,Kareem Abdul-Jabbar,39.0,LAL,7.0,156.0,0.045,1.0,5.0,,10754,1204
1987,NBA,All-NBA,ORV,G,Sleepy Floyd,26.0,GSW,7.0,156.0,0.045,0.0,7.0,,10894,2096
1987,NBA,All-NBA,ORV,F,Kiki Vandeweghe,28.0,POR,4.0,156.0,0.026,0.0,4.0,,10775,1939
1987,NBA,All-NBA,ORV,G,Clyde Drexler,24.0,POR,4.0,156.0,0.026,0.0,4.0,,10630,2110
1987,NBA,All-NBA,ORV,G,Dale Ellis,26.0,SEA,4.0,156.0,0.026,0.0,4.0,,10638,2112
1987,NBA,All-NBA,ORV,G,Doc Rivers,25.0,ATL,4.0,156.0,0.026,0.0,4.0,,10667,2118
1987,NBA,All-NBA,ORV,F,Buck Williams,26.0,NJN,3.0,156.0,0.019,0.0,3.0,,10601,1981
1987,NBA,All-NBA,ORV,G,Jeff Malone,25.0,WSB,3.0,156.0,0.019,0.0,3.0,,10720,2124
1987,NBA,All-NBA,ORV,F,Karl Malone,23.0,UTA,3.0,156.0,0.019,0.0,3.0,,10755,2252
1987,NBA,All-NBA,ORV,F,Alex English,33.0,DEN,2.0,156.0,0.013,0.0,2.0,,10564,1693
1987,NBA,All-NBA,ORV,G,Dennis Johnson,32.0,BOS,2.0,156.0,0.013,0.0,2.0,,10658,1701
1987,NBA,All-NBA,ORV,G,Maurice Cheeks,30.0,PHI,2.0,156.0,0.013,0.0,2.0,,10803,1822
1987,NBA,All-NBA,ORV,G,Walter Davis,32.0,PHO,1.0,156.0,0.006,0.0,1.0,,10930,1788
1987,NBA,All-NBA,ORV,C,Bill Laimbeer,29.0,DET,1.0,156.0,0.006,0.0,1.0,,10586,1902
1987,NBA,All-NBA,ORV,C,James Donaldson,29.0,DAL,1.0,156.0,0.006,0.0,1.0,,10712,1925
1987,NBA,All-NBA,ORV,F,Larry Nance,27.0,PHO,1.0,156.0,0.006,0.0,1.0,,10785,2018
1987,NBA,All-NBA,ORV,F,Mark Aguirre,27.0,DAL,1.0,156.0,0.006,0.0,1.0,,10794,2021
1987,NBA,All-NBA,ORV,F,James Worthy,25.0,LAL,1.0,156.0,0.006,0.0,1.0,,10714,2067
1987,NBA,All-NBA,ORV,F,Kevin Willis,24.0,ATL,1.0,156.0,0.006,0.0,1.0,,10774,2187
1986,NBA,All-NBA,1st,F,Larry Bird,29.0,BOS,156.0,156.0,1.0,78.0,0.0,,10392,1875
1986,NBA,All-NBA,1st,G,Magic Johnson,26.0,LAL,148.0,156.0,0.949,72.0,4.0,,10406,1878
1986,NBA,All-NBA,1st,G,Isiah Thomas,24.0,DET,130.0,156.0,0.833,56.0,18.0,,10317,2003
1986,NBA,All-NBA,1st,F,Dominique Wilkins,26.0,ATL,113.0,156.0,0.724,41.0,31.0,,10275,2058
1986,NBA,All-NBA,1st,C,Kareem Abdul-Jabbar,38.0,LAL,101.0,156.0,0.647,39.0,23.0,,10368,1204
1986,NBA,All-NBA,2nd,C,Hakeem Olajuwon,23.0,HOU,100.0,156.0,0.641,31.0,38.0,,10313,2176
1986,NBA,All-NBA,2nd,F,Charles Barkley,22.0,PHI,71.0,156.0,0.455,19.0,33.0,,10229,2162
1986,NBA,All-NBA,2nd,G,Sidney Moncrief,28.0,MIL,66.0,156.0,0.423,12.0,42.0,,10517,1889
1986,NBA,All-NBA,2nd,F,Alex English,32.0,DEN,48.0,156.0,0.308,7.0,34.0,,10184,1693
1986,NBA,All-NBA,2nd,G,Alvin Robertson,23.0,SAS,40.0,156.0,0.256,7.0,26.0,,10190,2158
1986,NBA,All-NBA,ORV,C,Moses Malone,30.0,PHI,32.0,156.0,0.205,8.0,16.0,,10444,1605
1986,NBA,All-NBA,ORV,G,Dennis Johnson,31.0,BOS,29.0,156.0,0.186,7.0,15.0,,10267,1701
1986,NBA,All-NBA,ORV,G,Maurice Cheeks,29.0,PHI,28.0,156.0,0.179,2.0,24.0,,10416,1822
1986,NBA,All-NBA,ORV,F,Kevin McHale,28.0,BOS,26.0,156.0,0.167,1.0,24.0,,10382,1938
1986,NBA,All-NBA,ORV,F,James Worthy,24.0,LAL,24.0,156.0,0.154,5.0,14.0,,10325,2067
1986,NBA,All-NBA,ORV,G,Rolando Blackman,26.0,DAL,16.0,156.0,0.103,0.0,16.0,,10493,2033
1986,NBA,All-NBA,ORV,F,Ralph Sampson,25.0,HOU,16.0,156.0,0.103,3.0,10.0,,10469,2142
1986,NBA,All-NBA,ORV,F,Buck Williams,25.0,NJN,6.0,156.0,0.038,1.0,4.0,,10219,1981
1986,NBA,All-NBA,ORV,F,Terry Cummings,24.0,MIL,5.0,156.0,0.032,0.0,5.0,,10530,2098
1986,NBA,All-NBA,ORV,F,Adrian Dantley,30.0,UTA,4.0,156.0,0.026,1.0,2.0,,10181,1692
1986,NBA,All-NBA,ORV,G,Jeff Malone,24.0,WSB,4.0,156.0,0.026,0.0,4.0,,10337,2124
1986,NBA,All-NBA,ORV,G,Walter Davis,31.0,PHO,2.0,156.0,0.013,0.0,2.0,,10551,1788
1986,NBA,All-NBA,ORV,C,Robert Parish,32.0,BOS,1.0,156.0,0.006,0.0,1.0,,10484,1723
1986,NBA,All-NBA,ORV,F,Marques Johnson,29.0,LAC,1.0,156.0,0.006,0.0,1.0,,10415,1767
1986,NBA,All-NBA,ORV,G,Reggie Theus,28.0,SAC,1.0,156.0,0.006,0.0,1.0,,10476,1832
1986,NBA,All-NBA,ORV,G,Paul Pressey,27.0,MIL,1.0,156.0,0.006,0.0,1.0,,10456,2086
1986,NBA,All-NBA,ORV,G,Clyde Drexler,23.0,POR,1.0,156.0,0.006,0.0,1.0,,10246,2110
1985,NBA,All-NBA,1st,F,Larry Bird,28.0,BOS,156.0,156.0,1.0,78.0,0.0,,10015,1875
1985,NBA,All-NBA,1st,G,Magic Johnson,25.0,LAL,146.0,156.0,0.936,69.0,8.0,,10036,1878
1985,NBA,All-NBA,1st,G,Isiah Thomas,23.0,DET,112.0,156.0,0.718,41.0,30.0,,9953,2003
1985,NBA,All-NBA,1st,C,Moses Malone,29.0,PHI,110.0,156.0,0.705,40.0,30.0,,10076,1605
1985,NBA,All-NBA,1st,F,Bernard King,28.0,NYK,107.0,156.0,0.686,40.0,27.0,,9832,1741
1985,NBA,All-NBA,2nd,C,Kareem Abdul-Jabbar,37.0,LAL,107.0,156.0,0.686,37.0,33.0,,9994,1204
1985,NBA,All-NBA,2nd,G,Michael Jordan,21.0,CHI,91.0,156.0,0.583,27.0,37.0,,10057,2193
1985,NBA,All-NBA,2nd,F,Terry Cummings,23.0,MIL,74.0,156.0,0.474,18.0,38.0,,10152,2098
1985,NBA,All-NBA,2nd,G,Sidney Moncrief,27.0,MIL,68.0,156.0,0.436,15.0,38.0,,10140,1889
1985,NBA,All-NBA,2nd,F,Ralph Sampson,24.0,HOU,57.0,156.0,0.365,14.0,29.0,,10099,2142
1984,NBA,All-NBA,1st,F,Larry Bird,27.0,BOS,151.0,152.0,0.993,75.0,1.0,,9662,1875
1984,NBA,All-NBA,1st,G,Magic Johnson,24.0,LAL,148.0,152.0,0.974,72.0,4.0,,9684,1878
1984,NBA,All-NBA,1st,G,Isiah Thomas,22.0,DET,126.0,152.0,0.829,53.0,20.0,,9604,2003
1984,NBA,All-NBA,1st,C,Kareem Abdul-Jabbar,36.0,LAL,116.0,152.0,0.763,52.0,12.0,,9641,1204
1984,NBA,All-NBA,1st,F,Bernard King,27.0,NYK,113.0,152.0,0.743,43.0,27.0,,9489,1741
1984,NBA,All-NBA,2nd,G,Sidney Moncrief,26.0,MIL,93.0,152.0,0.612,27.0,39.0,,9782,1889
1984,NBA,All-NBA,2nd,F,Julius Erving,33.0,PHI,80.0,152.0,0.526,24.0,32.0,,9639,1381
1984,NBA,All-NBA,2nd,C,Moses Malone,28.0,PHI,75.0,152.0,0.493,20.0,35.0,,9716,1605
1984,NBA,All-NBA,2nd,F,Adrian Dantley,28.0,UTA,53.0,152.0,0.349,7.0,39.0,,9475,1692
1984,NBA,All-NBA,2nd,G,Jim Paxson,26.0,POR,21.0,152.0,0.138,0.0,21.0,,9622,1871
1983,NBA,All-NBA,1st,F,Larry Bird,26.0,BOS,149.0,150.0,0.993,74.0,1.0,,9300,1875
1983,NBA,All-NBA,1st,C,Moses Malone,27.0,PHI,147.0,150.0,0.98,,,,9355,1605
1983,NBA,All-NBA,1st,G,Magic Johnson,23.0,LAL,144.0,150.0,0.96,,,,9321,1878
1983,NBA,All-NBA,1st,G,Sidney Moncrief,25.0,MIL,120.0,150.0,0.8,,,,9435,1889
1983,NBA,All-NBA,1st,F,Julius Erving,32.0,PHI,117.0,150.0,0.78,,,,9282,1381
1983,NBA,All-NBA,2nd,G,George Gervin,30.0,SAS,69.0,150.0,0.46,,,,9208,1447
1983,NBA,All-NBA,2nd,F,Alex English,29.0,DEN,62.0,150.0,0.413,,,,9087,1693
1983,NBA,All-NBA,2nd,F,Buck Williams,22.0,NJN,44.0,150.0,0.293,,,,9126,1981
1983,NBA,All-NBA,2nd,C,Kareem Abdul-Jabbar,35.0,LAL,42.0,150.0,0.28,,,,9284,1204
1983,NBA,All-NBA,2nd,G,Isiah Thomas,21.0,DET,38.0,150.0,0.253,,,,9223,2003
1982,NBA,All-NBA,1st,F,Larry Bird,25.0,BOS,138.0,138.0,1.0,69.0,0.0,,8922,1875
1982,NBA,All-NBA,1st,F,Julius Erving,31.0,PHI,131.0,138.0,0.949,,,,8896,1381
1982,NBA,All-NBA,1st,C,Moses Malone,26.0,HOU,130.0,138.0,0.942,,,,8978,1605
1982,NBA,All-NBA,1st,G,George Gervin,29.0,SAS,114.0,138.0,0.826,,,,8829,1447
1982,NBA,All-NBA,1st,G,Gus Williams,28.0,SEA,94.0,138.0,0.681,,,,8840,1647
1982,NBA,All-NBA,2nd,G,Magic Johnson,22.0,LAL,80.0,138.0,0.58,,,,8939,1878
1982,NBA,All-NBA,2nd,G,Sidney Moncrief,24.0,MIL,79.0,138.0,0.572,,,,9050,1889
1982,NBA,All-NBA,2nd,F,Alex English,28.0,DEN,37.0,138.0,0.268,,,,8718,1693
1982,NBA,All-NBA,2nd,C,Robert Parish,28.0,BOS,34.0,138.0,0.246,,,,9024,1723
1982,NBA,All-NBA,2nd,F,Bernard King,25.0,GSW,34.0,138.0,0.246,,,,8730,1741
1981,NBA,All-NBA,1st,F,Julius Erving,30.0,PHI,130.0,132.0,0.985,,,,8533,1381
1981,NBA,All-NBA,1st,F,Larry Bird,24.0,BOS,126.0,132.0,0.955,,,,8554,1875
1981,NBA,All-NBA,1st,C,Kareem Abdul-Jabbar,33.0,LAL,118.0,132.0,0.894,,,,8535,1204
1981,NBA,All-NBA,1st,G,George Gervin,28.0,SAS,99.0,132.0,0.75,,,,8468,1447
1981,NBA,All-NBA,1st,G,Dennis Johnson,26.0,PHO,60.0,132.0,0.455,,,,8436,1701
1981,NBA,All-NBA,2nd,C,Moses Malone,25.0,HOU,63.0,132.0,0.477,,,,8608,1605
1981,NBA,All-NBA,2nd,G,Otis Birdsong,25.0,KCK,58.0,132.0,0.439,,,,8617,1771
1981,NBA,All-NBA,2nd,F,Marques Johnson,24.0,MIL,54.0,132.0,0.409,,,,8578,1767
1981,NBA,All-NBA,2nd,G,Tiny Archibald,32.0,BOS,44.0,132.0,0.333,,,,8683,1329
1981,NBA,All-NBA,2nd,F,Adrian Dantley,25.0,UTA,37.0,132.0,0.28,,,,8349,1692
1980,NBA,All-NBA,1st,C,Kareem Abdul-Jabbar,32.0,LAL,130.0,132.0,0.985,,,,8178,1204
1980,NBA,All-NBA,1st,F,Julius Erving,29.0,PHI,119.0,132.0,0.898,,,,8176,1381
1980,NBA,All-NBA,1st,F,Larry Bird,23.0,BOS,110.0,132.0,0.833,,,,8191,1875
1980,NBA,All-NBA,1st,G,George Gervin,27.0,SAS,90.0,132.0,0.682,,,,8105,1447
1980,NBA,All-NBA,1st,G,Paul Westphal,29.0,PHO,68.0,132.0,0.515,,,,8247,1469
1980,NBA,All-NBA,2nd,G,Dennis Johnson,25.0,SEA,64.0,132.0,0.485,,,,8076,1701
1980,NBA,All-NBA,2nd,F,Dan Roundfield,26.0,ATL,53.0,132.0,0.402,,,,8064,1634
1980,NBA,All-NBA,2nd,G,Gus Williams,26.0,SEA,50.0,132.0,0.379,,,,8118,1647
1980,NBA,All-NBA,2nd,C,Moses Malone,24.0,HOU,47.0,132.0,0.356,,,,8234,1605
1980,NBA,All-NBA,2nd,F,Marques Johnson,23.0,MIL,42.0,132.0,0.318,,,,8213,1767
1979,NBA,All-NBA,1st,C,Moses Malone,23.0,HOU,120.0,132.0,0.909,,,,7877,1605
1979,NBA,All-NBA,1st,G,George Gervin,26.0,SAS,114.0,132.0,0.864,,,,7758,1447
1979,NBA,All-NBA,1st,F,Marques Johnson,22.0,MIL,99.0,132.0,0.75,,,,7857,1767
1979,NBA,All-NBA,1st,F,Elvin Hayes,33.0,WSB,98.0,132.0,0.742,,,,7743,1101
1979,NBA,All-NBA,1st,G,Paul Westphal,28.0,PHO,90.0,132.0,0.682,,,,7890,1469
1979,NBA,All-NBA,2nd,F,Bob Dandridge,31.0,WSB,,132.0,,,,,7676,1168
1979,NBA,All-NBA,2nd,C,Kareem Abdul-Jabbar,31.0,LAL,,132.0,,,,,7822,1204
1979,NBA,All-NBA,2nd,G,World B. Free,25.0,SDC,,132.0,,,,,7990,1691
1979,NBA,All-NBA,2nd,F,Walter Davis,24.0,PHO,,132.0,,,,,7981,1788
1979,NBA,All-NBA,2nd,G,Phil Ford,22.0,KCK,,132.0,,,,,7893,1828
1978,NBA,All-NBA,1st,F,Julius Erving,27.0,PHI,70.0,,,,,,7476,1381
1978,NBA,All-NBA,1st,G,George Gervin,25.0,SAS,114.0,,,,,,7405,1447
1978,NBA,All-NBA,1st,C,Bill Walton,25.0,POR,121.0,,,,,,7296,1556
1978,NBA,All-NBA,1st,F,Truck Robinson,26.0,NOJ,92.0,,,,,,7624,1619
1978,NBA,All-NBA,1st,G,David Thompson,23.0,DEN,102.0,,,,,,7363,1637
1978,NBA,All-NBA,2nd,C,Kareem Abdul-Jabbar,30.0,LAL,42.0,,,,,,7478,1204
1978,NBA,All-NBA,2nd,G,Pete Maravich,30.0,NOJ,38.0,,,,,,7555,1315
1978,NBA,All-NBA,2nd,G,Paul Westphal,27.0,PHO,82.0,,,,,,7554,1469
1978,NBA,All-NBA,2nd,F,Maurice Lucas,25.0,POR,40.0,,,,,,7525,1602
1978,NBA,All-NBA,2nd,F,Walter Davis,23.0,PHO,50.0,,,,,,7629,1788
1977,NBA,All-NBA,1st,F,Elvin Hayes,31.0,WSB,82.0,,,,,,7027,1101
1977,NBA,All-NBA,1st,C,Kareem Abdul-Jabbar,29.0,LAL,107.0,,,,,,7112,1204
1977,NBA,All-NBA,1st,G,Pete Maravich,29.0,NOJ,104.0,,,,,,7196,1315
1977,NBA,All-NBA,1st,G,Paul Westphal,26.0,PHO,55.0,,,,,,7195,1469
1977,NBA,All-NBA,1st,F,David Thompson,22.0,DEN,62.0,,,,,,7004,1637
1977,NBA,All-NBA,2nd,G,Jo Jo White,30.0,BOS,33.0,,,,,,7087,1197
1977,NBA,All-NBA,2nd,F,George McGinnis,26.0,PHI,,,,,,,7052,1362
1977,NBA,All-NBA,2nd,F,Julius Erving,26.0,PHI,58.0,,,,,,7110,1381
1977,NBA,All-NBA,2nd,G,George Gervin,24.0,SAS,40.0,,,,,,7047,1447
1977,NBA,All-NBA,2nd,C,Bill Walton,24.0,POR,43.0,,,,,,6931,1556
1976,NBA,All-NBA,1st,F,Rick Barry,31.0,GSW,16.0,18.0,0.889,,,,6831,856
1976,NBA,All-NBA,1st,F,George McGinnis,25.0,PHI,13.0,18.0,0.7,,,,6641,1362
1976,NBA,All-NBA,1st,C,Kareem Abdul-Jabbar,28.0,LAL,12.0,18.0,0.652,,,,6729,1204
1976,NBA,All-NBA,1st,G,Tiny Archibald,27.0,KCK,9.0,18.0,0.503,,,,6885,1329
1976,NBA,All-NBA,1st,G,Pete Maravich,28.0,NOJ,7.0,18.0,0.415,,,,6819,1315
1976,ABA,All-ABA,1st,G,Ralph Simpson,,,,,,,,,6824,1317
1976,ABA,All-ABA,1st,C,Artis Gilmore,,,,,,,,,6494,1338
1976,ABA,All-ABA,1st,F,Julius Erving,,,,,,,,,6727,1381
1976,ABA,All-ABA,1st,G,James Silas,,,,,,,,,6666,1453
1976,ABA,All-ABA,1st,F,Billy Knight,,,,,,,,,6505,1558
1976,NBA,All-NBA,2nd,F,Elvin Hayes,30.0,WSB,9.0,18.0,0.494,,,,6610,1101
1976,NBA,All-NBA,2nd,F,John Havlicek,35.0,BOS,9.0,18.0,0.476,,,,6708,778
1976,NBA,All-NBA,2nd,C,Dave Cowens,27.0,BOS,8.0,18.0,0.447,,,,6573,1260
1976,NBA,All-NBA,2nd,G,Randy Smith,27.0,BUF,6.0,18.0,0.327,,,,6828,1397
1976,NBA,All-NBA,2nd,G,Phil Smith,23.0,GSW,5.0,18.0,0.288,,,,6823,1609
1976,ABA,All-ABA,2nd,C,Dan Issel,,,,,,,,,6568,1259
1976,ABA,All-ABA,2nd,G,Don Buse,,,,,,,,,6593,1439
1976,ABA,All-ABA,2nd,G,George Gervin,,,,,,,,,6637,1447
1976,ABA,All-ABA,2nd,F,Bobby Jones,,,,,,,,,6524,1559
1976,ABA,All-ABA,2nd,F,David Thompson,,,,,,,,,6580,1637
1975,NBA,All-NBA,1st,F,Rick Barry,30.0,GSW,17.0,18.0,0.943,,,,6405,856
1975,NBA,All-NBA,1st,G,Tiny Archibald,26.0,KCO,15.0,18.0,0.838,,,,6451,1329
1975,NBA,All-NBA,1st,F,Elvin Hayes,29.0,WSB,14.0,18.0,0.794,,,,6192,1101
1975,NBA,All-NBA,1st,G,Walt Frazier,29.0,NYK,13.0,18.0,0.718,,,,6469,1061
1975,NBA,All-NBA,1st,C,Bob McAdoo,23.0,BUF,13.0,18.0,0.703,,,,6104,1424
1975,ABA,All-ABA,1st,G,Ron Boone,,,,,,,,,6414,1141
1975,ABA,All-ABA,1st,G,Mack Calvin,,,,,,,,,6343,1214
1975,ABA,All-ABA,1st,C,Artis Gilmore,,,,,,,,,6072,1338
1975,ABA,All-ABA,1st,F,George McGinnis,,,,,,,,,6220,1362
1975,ABA,All-ABA,1st,F,Julius Erving,,,,,,,,,6301,1381
1975,NBA,All-NBA,2nd,F,John Havlicek,34.0,BOS,,18.0,,,,,6287,778
