season,lg,type,number_tm,player,position,seas_id,player_id,birth_year,tm,age
2022,NBA,All-Defense,1st,Giannis Antetokounmpo,,29918,4164,,MIL,27
2022,NBA,All-Defense,1st,Jaren Jackson Jr.,,29991,4632,,MEM,22
2022,NBA,All-Defense,1st,Marcus Smart,,30183,4275,,BOS,27
2022,NBA,All-Defense,1st,Mikal Bridges,,30205,4658,,PHO,25
2022,NBA,All-Defense,1st,Rudy Gobert,,30313,4199,,UTA,29
2022,NBA,All-Defense,2nd,Bam Adebayo,,29689,4472,,MIA,24
2022,NBA,All-Defense,2nd,Draymond Green,,29870,4085,,GSW,31
2022,NBA,All-Defense,2nd,Jrue Holiday,,30061,3891,,MIL,31
2022,NBA,All-Defense,2nd,Matisse Thybulle,,30194,4760,,PHI,24
2022,NBA,All-Defense,2nd,Robert Williams,,30301,4667,,BOS,24
2022,NBA,All-NBA,1st,Devin Booker,G,29850,4321,,PHO,25
2022,NBA,All-NBA,1st,Giannis Antetokounmpo,F,29918,4164,,MIL,27
2022,NBA,All-NBA,1st,Jayson Tatum,F,30010,4518,,BOS,23
2022,NBA,All-NBA,1st,Luka Dončić,G,30158,4654,,DAL,22
2022,NBA,All-NBA,1st,Nikola Jokić,C,30247,4352,,DEN,26
2022,NBA,All-NBA,2nd,DeMar DeRozan,F,29830,3872,,CHI,32
2022,NBA,All-NBA,2nd,Ja Morant,G,29959,4723,,MEM,22
2022,NBA,All-NBA,2nd,Joel Embiid,C,30033,4417,,PHI,27
2022,NBA,All-NBA,2nd,Kevin Durant,F,30110,3770,,BRK,33
2022,NBA,All-NBA,2nd,Stephen Curry,G,30348,3903,,GSW,33
2022,NBA,All-NBA,3rd,Chris Paul,G,29760,3585,,PHO,36
2022,NBA,All-NBA,3rd,Karl-Anthony Towns,C,30091,4339,,MIN,26
2022,NBA,All-NBA,3rd,LeBron James,F,30150,3463,,LAL,37
2022,NBA,All-NBA,3rd,Pascal Siakam,F,30263,4437,,TOR,27
2022,NBA,All-NBA,3rd,Trae Young,G,30386,4676,,ATL,23
2022,NBA,All-Rookie,1st,Cade Cunningham,,29725,4912,,DET,20
2022,NBA,All-Rookie,1st,Evan Mobley,,29892,4931,,CLE,20
2022,NBA,All-Rookie,1st,Franz Wagner,,29898,4933,,ORL,20
2022,NBA,All-Rookie,1st,Jalen Green,,29970,4946,,HOU,19
2022,NBA,All-Rookie,1st,Scottie Barnes,,30324,5006,,TOR,20
2022,NBA,All-Rookie,2nd,Ayo Dosunmu,,29687,4907,,CHI,22
2022,NBA,All-Rookie,2nd,Bones Hyland,,29698,4908,,DEN,21
2022,NBA,All-Rookie,2nd,Chris Duarte,,29759,4919,,IND,24
2022,NBA,All-Rookie,2nd,Herbert Jones,,29938,4939,,NOP,23
2022,NBA,All-Rookie,2nd,Josh Giddey,,30048,4970,,OKC,19
2021,NBA,All-Defense,1st,Ben Simmons,,28991,4474,,PHI,24
2021,NBA,All-Defense,1st,Draymond Green,,29139,4085,,GSW,30
2021,NBA,All-Defense,1st,Giannis Antetokounmpo,,29187,4164,,MIL,26
2021,NBA,All-Defense,1st,Jrue Holiday,,29308,3891,,MIL,30
2021,NBA,All-Defense,1st,Rudy Gobert,,29529,4199,,UTA,28
2021,NBA,All-Defense,2nd,Bam Adebayo,,28987,4472,,MIA,23
2021,NBA,All-Defense,2nd,Jimmy Butler,,29285,4023,,MIA,31
2021,NBA,All-Defense,2nd,Joel Embiid,,29288,4417,,PHI,26
2021,NBA,All-Defense,2nd,Kawhi Leonard,,29324,4032,,LAC,29
2021,NBA,All-Defense,2nd,Matisse Thybulle,,29404,4760,,PHI,23
2021,NBA,All-NBA,1st,Giannis Antetokounmpo,F,29187,4164,,MIL,26
2021,NBA,All-NBA,1st,Kawhi Leonard,F,29324,4032,,LAC,29
2021,NBA,All-NBA,1st,Luka Dončić,G,29379,4654,,DAL,21
2021,NBA,All-NBA,1st,Nikola Jokić,C,29456,4352,,DEN,25
2021,NBA,All-NBA,1st,Stephen Curry,G,29553,3903,,GSW,32
2021,NBA,All-NBA,2nd,Chris Paul,G,29042,3585,,PHO,35
2021,NBA,All-NBA,2nd,Damian Lillard,G,29072,4077,,POR,30
