season,lg,team,abbreviation,playoffs,g,mp,opp_fg,opp_fga,opp_fg_percent,opp_x3p,opp_x3pa,opp_x3p_percent,opp_x2p,opp_x2pa,opp_x2p_percent,opp_ft,opp_fta,opp_ft_percent,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts
2024,NBA,Philadelphia 76ers,PHI,False,3.0,720.0,115.0,262.0,0.439,35.0,93.0,0.376,80.0,169.0,0.473,58.0,77.0,0.753,35.0,91.0,126.0,67.0,24.0,18.0,43.0,68.0,323.0
2024,NBA,Phoenix Suns,PHO,False,4.0,960.0,155.0,368.0,0.421,41.0,146.0,0.281,114.0,222.0,0.514,72.0,91.0,0.791,49.0,124.0,173.0,94.0,41.0,27.0,58.0,83.0,423.0
2024,NBA,Portland Trail Blazers,POR,False,4.0,960.0,161.0,345.0,0.467,40.0,119.0,0.336,121.0,226.0,0.535,80.0,103.0,0.777,49.0,139.0,188.0,105.0,41.0,33.0,60.0,73.0,442.0
2024,NBA,Sacramento Kings,SAC,False,3.0,745.0,132.0,276.0,0.478,38.0,105.0,0.362,94.0,171.0,0.55,61.0,79.0,0.772,31.0,115.0,146.0,81.0,24.0,9.0,45.0,66.0,363.0
2024,NBA,San Antonio Spurs,SAS,False,4.0,985.0,188.0,373.0,0.504,57.0,160.0,0.356,131.0,213.0,0.615,52.0,79.0,0.658,39.0,143.0,182.0,106.0,36.0,17.0,65.0,80.0,485.0
2024,NBA,Toronto Raptors,TOR,False,4.0,985.0,152.0,370.0,0.411,37.0,133.0,0.278,115.0,237.0,0.485,70.0,86.0,0.814,53.0,154.0,207.0,83.0,32.0,28.0,58.0,73.0,411.0
2024,NBA,Utah Jazz,UTA,False,4.0,960.0,180.0,348.0,0.517,52.0,151.0,0.344,128.0,197.0,0.65,72.0,93.0,0.774,35.0,128.0,163.0,109.0,28.0,29.0,52.0,80.0,484.0
2024,NBA,Washington Wizards,WAS,False,3.0,720.0,146.0,300.0,0.487,58.0,143.0,0.406,88.0,157.0,0.561,25.0,28.0,0.893,31.0,116.0,147.0,96.0,28.0,22.0,48.0,65.0,375.0
2024,NBA,League Average,,False,4.0,869.0,149.0,323.0,0.46,45.0,127.0,0.351,104.0,196.0,0.531,59.0,78.0,0.76,39.0,124.0,163.0,91.0,29.0,19.0,54.0,72.0,401.0
2023,NBA,Atlanta Hawks,ATL,False,82.0,19855.0,3592.0,7398.0,0.486,979.0,2748.0,0.356,2613.0,4650.0,0.562,1524.0,1899.0,0.803,866.0,2751.0,3617.0,2131.0,616.0,414.0,1162.0,1612.0,9687.0
2023,NBA,Boston Celtics,BOS,False,82.0,19980.0,3425.0,7394.0,0.463,954.0,2763.0,0.345,2471.0,4631.0,0.534,1332.0,1733.0,0.769,799.0,2810.0,3609.0,1895.0,544.0,318.0,1040.0,1568.0,9136.0
2023,NBA,Brooklyn Nets,BRK,False,82.0,19730.0,3360.0,7257.0,0.463,968.0,2640.0,0.367,2392.0,4617.0,0.518,1537.0,2003.0,0.767,943.0,2758.0,3701.0,1916.0,575.0,317.0,1126.0,1517.0,9225.0
2023,NBA,Chicago Bulls,CHI,False,82.0,19905.0,3339.0,7142.0,0.468,1086.0,3042.0,0.357,2253.0,4100.0,0.55,1406.0,1806.0,0.779,791.0,2763.0,3554.0,2131.0,546.0,389.0,1234.0,1537.0,9170.0
2023,NBA,Charlotte Hornets,CHO,False,82.0,19830.0,3522.0,7391.0,0.477,1004.0,2812.0,0.357,2518.0,4579.0,0.55,1562.0,1965.0,0.795,895.0,2892.0,3787.0,2127.0,573.0,471.0,1177.0,1667.0,9610.0
2023,NBA,Cleveland Cavaliers,CLE,False,82.0,19880.0,3201.0,6847.0,0.468,924.0,2508.0,0.368,2277.0,4339.0,0.525,1438.0,1838.0,0.782,801.0,2580.0,3381.0,1888.0,575.0,360.0,1284.0,1675.0,8764.0
2023,NBA,Dallas Mavericks,DAL,False,82.0,19930.0,3425.0,7065.0,0.485,913.0,2596.0,0.352,2512.0,4469.0,0.562,1597.0,2046.0,0.781,830.0,2838.0,3668.0,2044.0,522.0,312.0,1075.0,1789.0,9360.0
2023,NBA,Denver Nuggets,DEN,False,82.0,19755.0,3423.0,7166.0,0.478,933.0,2711.0,0.344,2490.0,4455.0,0.559,1443.0,1861.0,0.775,832.0,2516.0,3348.0,2105.0,646.0,344.0,1105.0,1601.0,9222.0
2023,NBA,Detroit Pistons,DET,False,82.0,19805.0,3533.0,7222.0,0.489,984.0,2732.0,0.36,2549.0,4490.0,0.568,1669.0,2149.0,0.777,901.0,2767.0,3668.0,2112.0,631.0,453.0,1108.0,1718.0,9719.0
2023,NBA,Golden State Warriors,GSW,False,82.0,19830.0,3478.0,7423.0,0.469,1060.0,2915.0,0.364,2418.0,4508.0,0.536,1589.0,2067.0,0.769,880.0,2673.0,3553.0,2110.0,646.0,326.0,1172.0,1510.0,9605.0
2023,NBA,Houston Rockets,HOU,False,82.0,19755.0,3480.0,7225.0,0.482,1189.0,3183.0,0.374,2291.0,4042.0,0.567,1576.0,1986.0,0.794,860.0,2542.0,3402.0,2143.0,718.0,509.0,1078.0,1692.0,9725.0
2023,NBA,Indiana Pacers,IND,False,82.0,19755.0,3549.0,7323.0,0.485,1019.0,2733.0,0.373,2530.0,4590.0,0.551,1679.0,2100.0,0.8,993.0,2721.0,3714.0,2163.0,650.0,438.0,1235.0,1660.0,9796.0
2023,NBA,Los Angeles Clippers,LAC,False,82.0,19830.0,3430.0,7243.0,0.474,1000.0,2738.0,0.365,2430.0,4505.0,0.539,1413.0,1832.0,0.771,838.0,2699.0,3537.0,2048.0,640.0,343.0,1065.0,1607.0,9273.0
