season,lg,team,abbreviation,playoffs,g,mp,opp_fg_per_100_poss,opp_fga_per_100_poss,opp_fg_percent,opp_x3p_per_100_poss,opp_x3pa_per_100_poss,opp_x3p_percent,opp_x2p_per_100_poss,opp_x2pa_per_100_poss,opp_x2p_percent,opp_ft_per_100_poss,opp_fta_per_100_poss,opp_ft_percent,opp_orb_per_100_poss,opp_drb_per_100_poss,opp_trb_per_100_poss,opp_ast_per_100_poss,opp_stl_per_100_poss,opp_blk_per_100_poss,opp_tov_per_100_poss,opp_pf_per_100_poss,opp_pts_per_100_poss
2022,NBA,Minnesota Timberwolves,MIN,True,82,19780,39.7,86.1,0.46,12.9,36.8,0.35,26.8,49.3,0.543,19.5,25.0,0.78,10.9,34.4,45.2,25.8,7.1,4.8,16.1,20.6,111.7
2022,NBA,New Orleans Pelicans,NOP,True,82,19755,41.2,87.6,0.471,13.3,36.4,0.365,27.9,51.2,0.546,17.2,21.9,0.786,9.5,33.3,42.8,25.5,7.6,4.9,14.5,21.0,113.0
2022,NBA,New York Knicks,NYK,False,82,19780,39.9,89.2,0.447,13.1,38.3,0.342,26.8,50.8,0.527,17.6,23.1,0.764,9.7,35.6,45.3,25.1,7.2,4.8,13.1,21.1,110.5
2022,NBA,Oklahoma City Thunder,OKC,False,82,19805,41.8,91.3,0.458,13.7,39.0,0.353,28.0,52.3,0.536,15.4,20.0,0.771,11.1,37.6,48.8,26.3,8.5,6.0,13.3,18.0,112.8
2022,NBA,Orlando Magic,ORL,False,82,19780,40.9,89.3,0.458,13.2,36.4,0.363,27.7,52.8,0.524,17.5,22.6,0.772,10.4,36.9,47.3,24.9,8.0,5.2,13.2,18.4,112.5
2022,NBA,Philadelphia 76ers,PHI,True,82,19805,41.0,89.4,0.458,11.7,33.9,0.346,29.2,55.5,0.527,17.2,22.3,0.769,10.6,35.1,45.6,24.3,6.8,4.8,13.7,20.1,110.8
2022,NBA,Phoenix Suns,PHO,True,82,19730,39.2,88.3,0.444,11.6,34.2,0.34,27.6,54.1,0.51,17.3,22.7,0.761,10.5,33.9,44.5,22.9,7.5,4.0,14.7,18.9,107.3
2022,NBA,Portland Trail Blazers,POR,False,82,19730,41.8,87.2,0.479,14.0,37.7,0.371,27.8,49.5,0.561,19.4,24.9,0.777,9.9,35.5,45.4,27.0,8.3,5.1,14.2,19.7,116.9
2022,NBA,Sacramento Kings,SAC,False,82,19805,43.3,90.2,0.479,12.9,34.8,0.372,30.3,55.5,0.547,15.9,20.4,0.776,10.5,35.1,45.6,25.2,8.1,4.8,13.4,20.2,115.3
2022,NBA,San Antonio Spurs,SAS,False,82,19805,42.2,90.5,0.466,12.0,33.4,0.36,30.2,57.2,0.528,15.9,20.7,0.767,11.3,35.2,46.5,23.9,7.3,4.9,13.7,18.8,112.3
2022,NBA,Toronto Raptors,TOR,True,82,19855,40.2,87.1,0.462,12.8,36.0,0.354,27.5,51.1,0.538,17.3,21.9,0.789,10.7,34.8,45.5,26.1,6.9,5.2,16.3,19.7,110.5
2022,NBA,Utah Jazz,UTA,True,82,19730,41.5,91.7,0.453,12.4,35.5,0.35,29.1,56.1,0.518,15.0,19.8,0.758,10.1,32.6,42.7,24.0,8.0,4.4,12.3,20.8,110.5
2022,NBA,Washington Wizards,WAS,False,82,19830,42.2,90.9,0.464,11.7,32.5,0.361,30.5,58.4,0.522,18.4,22.8,0.807,10.5,34.7,45.2,24.2,7.5,4.3,12.1,20.4,114.5
2021,NBA,Atlanta Hawks,ATL,True,72,17405,42.0,90.7,0.463,12.1,34.8,0.349,29.9,55.9,0.534,17.2,21.5,0.803,10.2,33.2,43.4,24.8,7.9,5.1,12.5,20.1,113.3
