seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,gs,mp,fg_per_36_min,fga_per_36_min,fg_percent,x3p_per_36_min,x3pa_per_36_min,x3p_percent,x2p_per_36_min,x2pa_per_36_min,x2p_percent,ft_per_36_min,fta_per_36_min,ft_percent,orb_per_36_min,drb_per_36_min,trb_per_36_min,ast_per_36_min,stl_per_36_min,blk_per_36_min,tov_per_36_min,pf_per_36_min,pts_per_36_min
31361,2024,4336,Josh Richardson,,SG,30.0,9,NBA,MIA,1,0.0,23.0,4.7,11.0,0.429,0.0,3.1,0.0,4.7,7.8,0.6,0.0,0.0,,0.0,4.7,4.7,3.1,0.0,0.0,0.0,4.7,9.4
31362,2024,3891,Jrue Holiday,,PG,33.0,15,NBA,BOS,3,3.0,98.0,5.5,11.0,0.5,1.1,4.4,0.25,4.4,6.6,0.667,1.5,1.5,1.0,1.8,5.1,7.0,4.4,0.4,2.2,1.5,2.2,13.6
31363,2024,5070,Julian Champagnie,,SF,22.0,2,NBA,SAS,2,0.0,10.0,3.6,18.0,0.2,3.6,10.8,0.333,0.0,7.2,0.0,0.0,0.0,,0.0,7.2,7.2,0.0,0.0,3.6,3.6,0.0,10.8
31364,2024,5139,Julian Phillips,,SF,20.0,1,NBA,CHI,2,0.0,5.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31365,2024,5140,Julian Strawther,,SF,21.0,1,NBA,DEN,3,0.0,19.0,9.5,20.8,0.455,3.8,9.5,0.4,5.7,11.4,0.5,0.0,0.0,,0.0,5.7,5.7,1.9,0.0,0.0,0.0,3.8,22.7
31366,2024,4266,Julius Randle,,PF,29.0,10,NBA,NYK,4,4.0,133.0,4.9,16.5,0.295,2.2,6.8,0.32,2.7,9.7,0.278,4.3,6.8,0.64,2.4,9.7,12.2,6.0,0.8,0.0,3.2,3.0,16.2
31367,2024,4102,Justin Holiday,,SG,34.0,11,NBA,DEN,1,0.0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31368,2024,4267,Jusuf Nurkić,,C,29.0,10,NBA,PHO,4,4.0,109.0,4.3,10.2,0.419,1.0,3.6,0.273,3.3,6.6,0.5,3.6,4.3,0.846,2.6,11.2,13.9,5.3,2.0,1.3,2.3,5.6,13.2
31369,2024,5141,Kaiser Gates,,SF,27.0,1,NBA,NOP,1,0.0,7.0,0.0,20.6,0.0,0.0,10.3,0.0,0.0,10.3,0.0,0.0,0.0,,0.0,5.1,5.1,0.0,0.0,0.0,0.0,0.0,0.0
31370,2024,4339,Karl-Anthony Towns,,PF,28.0,9,NBA,MIN,3,3.0,103.0,7.0,18.9,0.37,1.4,5.9,0.235,5.6,12.9,0.432,1.0,1.4,0.75,1.4,9.1,10.5,2.8,0.7,1.4,1.7,2.4,16.4
31371,2024,4032,Kawhi Leonard,,SF,32.0,12,NBA,LAC,4,4.0,126.0,8.0,18.0,0.444,3.4,7.1,0.48,4.6,10.9,0.421,2.6,3.4,0.75,1.7,5.4,7.1,5.1,2.0,0.3,2.6,1.7,22.0
31372,2024,5072,Keegan Murray,,SF,23.0,2,NBA,SAC,3,3.0,103.0,5.9,15.0,0.395,3.5,10.1,0.345,2.4,4.9,0.5,1.4,2.1,0.667,2.8,5.2,8.0,2.4,1.7,1.4,1.7,3.5,16.8
31373,2024,4646,Keita Bates-Diop,,SF,28.0,6,NBA,PHO,1,0.0,6.0,6.0,12.0,0.5,0.0,0.0,,6.0,12.0,0.5,0.0,0.0,,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,12.0
31374,2024,4745,Keldon Johnson,,SF,24.0,5,NBA,SAS,4,4.0,124.0,7.5,16.8,0.448,2.6,7.0,0.375,4.9,9.9,0.5,2.3,3.2,0.727,1.5,4.6,6.1,4.6,0.9,0.3,1.7,4.1,20.0
31375,2024,4177,Kelly Olynyk,,C,32.0,11,NBA,UTA,4,0.0,77.0,5.1,7.5,0.688,0.9,2.3,0.4,4.2,5.1,0.818,3.7,4.2,0.889,4.7,4.7,9.4,7.0,2.3,0.5,2.8,5.6,15.0
31376,2024,4341,Kelly Oubre Jr.,,SF,28.0,9,NBA,PHI,3,0.0,88.0,7.8,15.5,0.5,2.0,6.5,0.313,5.7,9.0,0.636,5.7,6.1,0.933,1.6,3.3,4.9,0.8,2.5,0.4,1.6,3.3,23.3
31377,2024,5075,Kenneth Lofton Jr.,,PF,21.0,2,NBA,MEM,2,0.0,6.0,0.0,6.0,0.0,0.0,0.0,,0.0,6.0,0.0,0.0,0.0,,0.0,0.0,0.0,6.0,0.0,0.0,6.0,12.0,0.0
31378,2024,4178,Kentavious Caldwell-Pope,,SG,30.0,11,NBA,DEN,4,4.0,134.0,4.3,8.6,0.5,1.9,4.6,0.412,2.4,4.0,0.6,1.1,1.1,1.0,0.3,2.4,2.7,0.8,3.0,1.1,1.6,3.2,11.6
31379,2024,4854,Kenyon Martin Jr.,,SF,23.0,4,NBA,LAC,2,0.0,31.0,4.6,11.6,0.4,1.2,5.8,0.2,3.5,5.8,0.6,1.2,2.3,0.5,1.2,2.3,3.5,1.2,2.3,1.2,2.3,3.5,11.6
31380,2024,5076,Keon Ellis,,SG,24.0,2,NBA,SAC,1,0.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31381,2024,4977,Kessler Edwards,,SF,23.0,3,NBA,SAC,2,0.0,1.0,0.0,36.0,0.0,0.0,36.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31382,2024,3770,Kevin Durant,,PF,35.0,16,NBA,PHO,4,4.0,143.0,10.3,20.1,0.513,1.0,3.5,0.286,9.3,16.6,0.561,5.8,7.3,0.793,0.5,6.5,7.0,4.8,1.0,0.8,4.3,1.0,27.4
31383,2024,4648,Kevin Huerter,,SG,25.0,6,NBA,SAC,3,3.0,76.0,3.3,12.3,0.269,1.9,8.1,0.235,1.4,4.3,0.333,0.5,0.9,0.5,0.9,5.7,6.6,3.8,0.0,1.4,0.5,2.8,9.0
31384,2024,3830,Kevin Love,,PF,35.0,16,NBA,MIA,3,3.0,66.0,4.4,12.0,0.364,3.3,8.2,0.4,1.1,3.8,0.286,1.6,2.2,0.75,2.2,10.9,13.1,3.8,0.5,0.0,1.6,3.8,13.6
31385,2024,4342,Kevon Looney,,C,27.0,9,NBA,GSW,4,4.0,108.0,4.0,6.7,0.6,0.0,0.0,,4.0,6.7,0.6,1.3,1.7,0.8,4.0,9.7,13.7,3.0,1.7,0.7,1.7,3.0,9.3
31386,2024,5142,Keyontae Johnson,,SF,23.0,1,NBA,OKC,1,0.0,6.0,0.0,6.0,0.0,0.0,0.0,,0.0,6.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31387,2024,5143,Keyonte George,,SG,20.0,1,NBA,UTA,4,0.0,78.0,5.1,12.9,0.393,2.8,8.3,0.333,2.3,4.6,0.5,1.4,1.4,1.0,1.8,4.2,6.0,5.5,0.9,0.0,1.8,0.9,14.3
31388,2024,4107,Khris Middleton,,SF,32.0,12,NBA,MIL,2,2.0,33.0,3.3,9.8,0.333,1.1,5.5,0.2,2.2,4.4,0.5,4.4,6.5,0.667,0.0,5.5,5.5,9.8,3.3,0.0,3.3,2.2,12.0
31389,2024,4855,Killian Hayes,,PG,22.0,4,NBA,DET,4,4.0,110.0,3.9,12.4,0.316,1.3,5.2,0.25,2.6,7.2,0.364,1.3,2.3,0.571,0.3,2.6,2.9,5.6,2.0,1.0,2.0,3.6,10.5
31390,2024,4857,Kira Lewis Jr.,,PG,22.0,4,NBA,NOP,3,0.0,37.0,4.9,12.6,0.385,0.0,5.8,0.0,4.9,6.8,0.714,2.9,3.9,0.75,1.0,1.9,2.9,1.9,0.0,1.0,1.0,1.9,12.6
