seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,mp,pg_percent,sg_percent,sf_percent,pf_percent,c_percent,on_court_plus_minus_per_100_poss,net_plus_minus_per_100_poss,bad_pass_turnover,lost_ball_turnover,shooting_foul_committed,offensive_foul_committed,shooting_foul_drawn,offensive_foul_drawn,points_generated_by_assists,and1,fga_blocked
31175,2024,5116,Brandon Miller,,SF,21,1,NBA,CHO,3,94,,,88.0,12.0,,-12.0,-14.9,2,0,6,1,4,1.0,14,0,1
31176,2024,4911,Braxton Key,,SF,26,3,NBA,DEN,2,4,,,,100.0,,16.1,1.7,0,0,0,0,0,0.0,0,0,0
31177,2024,5117,Brice Sensabaugh,,SF,20,1,NBA,UTA,1,2,,100.0,,,,25.0,36.1,0,0,0,0,0,0.0,0,0,0
31178,2024,3801,Brook Lopez,,C,35,16,NBA,MIL,3,79,,,,,100.0,-12.0,-21.9,2,1,5,1,1,0.0,10,1,0
31179,2024,4594,Bruce Brown,,PG,27,6,NBA,IND,3,96,22.0,78.0,,,,0.4,-25.5,1,2,5,0,1,0.0,10,0,0
31180,2024,4695,Bruno Fernando,,C,25,5,NBA,ATL,2,6,,,,,100.0,-105.3,-113.5,1,0,0,1,0,0.0,0,0,0
31181,2024,4382,Buddy Hield,,SF,31,8,NBA,IND,3,63,,4.0,94.0,2.0,,15.7,11.1,2,1,0,0,0,0.0,31,0,4
31182,2024,4154,CJ McCollum,,SG,32,11,NBA,NOP,3,100,60.0,34.0,6.0,,,-0.9,10.3,1,1,4,0,5,0.0,46,2,2
31183,2024,4912,Cade Cunningham,,PG,22,3,NBA,DET,4,135,32.0,68.0,,,,2.3,-6.7,14,5,6,1,8,1.0,68,3,5
31184,2024,5034,Caleb Houstan,,SF,21,2,NBA,ORL,2,9,,,100.0,,,38.6,36.4,0,0,0,0,1,0.0,0,1,0
31185,2024,4696,Caleb Martin,,SF,28,5,NBA,MIA,1,20,,94.0,6.0,,,-2.2,7.0,0,0,1,0,0,2.0,2,0,1
31186,2024,4697,Cam Reddish,,SF,24,5,NBA,LAL,4,48,,10.0,87.0,3.0,,-15.9,-18.2,1,1,2,0,1,0.0,4,0,1
31187,2024,4913,Cam Thomas,,SG,22,3,NBA,BRK,3,96,2.0,45.0,44.0,9.0,,4.1,7.7,0,2,2,0,14,2.0,15,2,4
31188,2024,5118,Cam Whitmore,,SF,19,1,NBA,HOU,1,10,,,33.0,17.0,50.0,-59.4,-47.2,1,0,0,0,0,1.0,0,0,0
31189,2024,4698,Cameron Johnson,,PF,27,5,NBA,BRK,1,26,,,,74.0,27.0,-5.8,-9.6,2,0,0,0,1,0.0,6,0,2
31190,2024,4311,Cameron Payne,,PG,29,9,NBA,MIL,3,36,100.0,,,,,7.4,13.2,2,0,2,0,0,1.0,2,0,1
31191,2024,4383,Caris LeVert,,SG,29,8,NBA,CLE,3,107,36.0,50.0,14.0,,,-6.6,4.3,2,1,3,0,5,2.0,34,1,3
31192,2024,5119,Cason Wallace,,SG,20,1,NBA,OKC,4,82,18.0,28.0,54.0,,,0.1,-0.7,1,0,3,1,2,0.0,10,0,0
31193,2024,4479,Cedi Osman,,SF,28,7,NBA,SAS,4,81,,4.0,49.0,47.0,,1.6,17.5,2,1,2,0,1,2.0,11,1,1
31194,2024,4917,Charles Bassey,,C,23,3,NBA,SAS,4,52,,,,,100.0,-8.5,0.2,2,0,4,0,0,0.0,10,0,0
31195,2024,5120,Chet Holmgren,,PF,21,1,NBA,OKC,4,106,,,,,100.0,3.7,7.2,0,4,9,0,7,1.0,18,1,1
31196,2024,4597,Chimezie Metu,,C,26,6,NBA,PHO,1,3,,,,100.0,,-46.7,-52.7,0,0,0,0,0,0.0,2,0,0
31197,2024,4481,Chris Boucher,,PF,31,7,NBA,TOR,3,45,,,6.0,66.0,29.0,21.7,31.3,1,0,4,1,6,1.0,2,2,1
31198,2024,4919,Chris Duarte,,SF,26,3,NBA,SAC,3,55,,23.0,77.0,,,2.2,-1.8,1,0,6,0,1,2.0,9,1,1
